cell_line	CellLine	classification
BT-20	BT20	TNBC
BT-549	BT549	TNBC
CAL-120	CAL120	TNBC
CAL-148	CAL148	TNBC
CAL-51	CAL51	TNBC
CAL-851	CAL851	TNBC
DU4475	DU4475	TNBC
HCC1143	HCC1143	TNBC
HCC1187	HCC1187	TNBC
HCC1395	HCC1395	TNBC
HCC1599	HCC1599	TNBC
HCC1806	HCC1806	TNBC
HCC1937	HCC1937	TNBC
HCC2157	HCC2157	TNBC
HCC2185	HCC2185	TNBC
HCC3153	HCC3153	TNBC
HCC38	HCC38	TNBC
HCC70	HCC70	TNBC
HDQ-P1	HDQP1	TNBC
Hs578T	Hs578T	TNBC
MDA-MB-157	MDAMB157	TNBC
MDA-MB-231	MDAMB231	TNBC
MDA-MB-436	MDAMB436	TNBC
MDA-MB-453	MDAMB453	TNBC
MDA-MB-468	MDAMB468	TNBC
MFM-223	MFM223	TNBC
SK-BR-7	SKBR7	TNBC
SUM102PT	SUM102PT	TNBC
SUM1315MO2	SUM1315MO2	TNBC
SUM149PT	SUM149PT	TNBC
SUM159PT	SUM159PT	TNBC
SUM185PE	SUM185PE	TNBC
SUM229PE	SUM229PE	TNBC
SUM52PE	SUM52PE	TNBC
SW527	SW527	TNBC
BT-474	BT474	NonTNBC
BT-483	BT483	NonTNBC
CAMA-1	CAMA1	NonTNBC
EVSA-T	EVSAT	NonTNBC
HCC1419	HCC1419	NonTNBC
HCC1500	HCC1500	NonTNBC
HCC1569	HCC1569	NonTNBC
HCC1954	HCC1954	NonTNBC
HCC202	HCC202	NonTNBC
HCC2218	HCC2218	NonTNBC
MCF-7	MCF7	NonTNBC
MDA-MB-134VI	MDAMB134VI	NonTNBC
MDA-MB-175	MDAMB175	NonTNBC
MDA-MB-175-VII	MDAMB175VII	NonTNBC
MDA-MB-330	MDAMB330	NonTNBC
MDA-MB-361	MDAMB361	NonTNBC
MDA-MB-415	MDAMB415	NonTNBC
MPE600	MPE600	NonTNBC
OCUB-F	OCUBF	NonTNBC
OCUB-M	OCUBM	NonTNBC
SK-BR-3	SKBR3	NonTNBC
SK-BR-5	SKBR5	NonTNBC
SUM190PT	SUM190PT	NonTNBC
SUM225CWN	SUM225CWN	NonTNBC
SUM225PE	SUM225PE	NonTNBC
SUM44PE	SUM44PE	NonTNBC
T47D	T47D	NonTNBC
UACC-812	UACC812	NonTNBC
UACC-893	UACC893	NonTNBC
ZR-75-1	ZR751	NonTNBC
ZR-75-30	ZR7530	NonTNBC
